id	char
0	

1	 
2	!
3	(
4	)
5	*
6	+
7	,
8	-
9	.
10	/
11	1
12	2
13	3
14	6
15	8
16	9
17	:
18	<
19	>
20	?
21	A
22	B
23	C
24	D
25	E
26	F
27	G
28	H
29	I
30	J
31	K
32	L
33	M
34	N
35	O
36	P
37	R
38	S
39	T
40	U
41	V
42	W
43	Y
44	[
45	\
46	]
47	`
48	a
49	b
50	c
51	d
52	e
53	f
54	g
55	h
56	i
57	k
58	l
59	m
60	n
61	o
62	p
63	r
64	s
65	t
66	u
67	w
68	x
69	y
70	z
71	~
72	·
73	…
74	☆
75	　
76	。
77	〇
78	《
79	》
80	〖
81	〗
82	ー
83	ㄇ
84	ㄈ
85	ㄌ
86	ㄒ
87	ㄙ
88	ㄚ
89	ㄟ
90	ㄡ
91	一
92	丁
93	七
94	万
95	三
96	上
97	下
98	不
99	与
100	丑
101	专
102	世
103	丘
104	业
105	丛
106	东
107	丟
108	丢
109	两
110	严
111	丧
112	个
113	中
114	临
115	丸
116	丹
117	为
118	主
119	丽
120	举
121	久
122	么
123	义
124	之
125	乌
126	乎
127	乐
128	乒
129	乓
130	乖
131	乘
132	九
133	也
134	习
135	乡
136	书
137	买
138	乱
139	乾
140	了
141	予
142	争
143	事
144	二
145	于
146	亏
147	云
148	互
149	五
150	井
151	亘
152	亚
153	些
154	亡
155	交
156	亦
157	产
158	享
159	亭
160	亮
161	亲
162	人
163	什
164	仁
165	仇
166	今
167	介
168	仍
169	从
170	仓
171	仔
172	仕
173	他
174	仗
175	付
176	仙
177	代
178	令
179	以
180	仪
181	们
182	仰
183	件
184	价
185	任
186	份
187	仿
188	伊
189	伏
190	伐
191	休
192	众
193	优
194	伙
195	会
196	伞
197	伟
198	传
199	伤
200	伦
201	伪
202	伫
203	伯
204	伱
205	伴
206	伸
207	似
208	伽
209	但
210	位
211	低
212	住
213	体
214	佔
215	何
216	佗
217	余
218	佛
219	作
220	你
221	佳
222	佻
223	使
224	來
225	供
226	依
227	侠
228	侦
229	侧
230	侬
231	侵
232	便
233	促
234	俊
235	保
236	俠
237	信
238	俯
239	俺
240	個
241	們
242	倒
243	倔
244	候
245	借
246	倦
247	倫
248	倭
249	债
250	值
251	倾
252	假
253	偎
254	偏
255	做
256	停
257	偶
258	偷
259	傀
260	傅
261	傍
262	储
263	傲
264	傷
265	傻
266	傾
267	像
268	僵
269	儡
270	儿
271	兀
272	元
273	兄
274	充
275	兆
276	先
277	光
278	克
279	免
280	兜
281	入
282	全
283	兩
284	八
285	公
286	六
287	兮
288	兰
289	共
290	关
291	兴
292	兵
293	其
294	具
295	典
296	养
297	兽
298	内
299	冉
300	册
301	再
302	冒
303	写
304	军
305	农
306	冠
307	冥
308	冬
309	冰
310	冲
311	决
312	况
313	冷
314	净
315	凄
316	准
317	凉
318	凋
319	凌
320	减
321	凝
322	几
323	凡
324	凤
325	凯
326	凶
327	出
328	击
329	凿
330	刀
331	分
332	切
333	刊
334	划
335	列
336	则
337	刚
338	创
339	初
340	删
341	判
342	別
343	利
344	别
345	刮
346	到
347	制
348	刷
349	刺
350	刻
351	削
352	前
353	剑
354	剔
355	剥
356	剧
357	剩
358	剪
359	副
360	割
361	力
362	办
363	功
364	加
365	务
366	动
367	助
368	努
369	劫
370	励
371	劳
372	势
373	勇
374	勉
375	勒
376	勛
377	勾
378	包
379	匆
380	化
381	北
382	匙
383	匠
384	匹
385	区
386	医
387	十
388	千
389	升
390	午
391	半
392	华
393	协
394	卑
395	单
396	卖
397	南
398	卜
399	占
400	卡
401	卦
402	印
403	危
404	即
405	却
406	卷
407	卸
408	卻
409	厅
410	历
411	厉
412	压
413	厌
414	厘
415	厚
416	原
417	厢
418	去
419	参
420	又
421	及
422	友
423	双
424	反
425	发
426	叔
427	取
428	受
429	变
430	叛
431	叠
432	口
433	古
434	句
435	另
436	叨
437	叩
438	只
439	叫
440	叭
441	叮
442	可
443	台
444	史
445	右
446	叶
447	号
448	司
449	叹
450	吃
451	吆
452	合
453	吉
454	吊
455	同
456	名
457	后
458	吐
459	向
460	吗
461	君
462	吝
463	吞
464	吟
465	吠
466	否
467	吧
468	含
469	听
470	吭
471	吴
472	吵
473	吸
474	吹
475	吻
476	吼
477	吾
478	呀
479	呆
480	告
481	呜
482	呢
483	呦
484	周
485	味
486	呵
487	呸
488	呼
489	命
490	咆
491	和
492	咒
493	咖
494	咧
495	咩
496	咪
497	咬
498	咱
499	咸
500	咿
501	哀
502	品
503	哈
504	哉
505	响
506	哎
507	哑
508	哒
509	哟
510	哥
511	哦
512	哩
513	哪
514	哭
515	哮
516	哼
517	唇
518	唐
519	唤
520	唯
521	唰
522	唱
523	唸
524	啃
525	啊
526	啜
527	啡
528	啤
529	啥
530	啦
531	啬
532	啰
533	啵
534	啸
535	喂
536	善
537	喇
538	喉
539	喊
540	喔
541	喘
542	喜
543	喝
544	喧
545	喬
546	單
547	喷
548	嗅
549	嗓
550	嗜
551	嗦
552	嗨
553	嘆
554	嘉
555	嘛
556	嘟
557	嘲
558	嘴
559	嘶
560	嘿
561	噙
562	噢
563	器
564	噬
565	噴
566	嚇
567	嚎
568	嚣
569	四
570	回
571	因
572	团
573	园
574	困
575	囱
576	围
577	固
578	国
579	图
580	圆
581	圈
582	土
583	圣
584	在
585	地
586	场
587	圾
588	坊
589	坏
590	坐
591	坑
592	块
593	坚
594	坛
595	坟
596	坠
597	坡
598	坦
599	垂
600	垃
601	型
602	垒
603	垦
604	垫
605	埃
606	埋
607	城
608	培
609	基
610	堂
611	堆
612	堕
613	堡
614	堤
615	堪
616	堵
617	塌
618	塔
619	塞
620	填
621	境
622	墓
623	墙
624	增
625	墟
626	墨
627	墻
628	壁
629	壕
630	壤
631	士
632	壮
633	声
634	壳
635	壶
636	处
637	备
638	复
639	夏
640	夕
641	外
642	多
643	夜
644	够
645	大
646	天
647	太
648	夫
649	央
650	失
651	头
652	夸
653	夹
654	夺
655	奇
656	奈
657	奉
658	奋
659	奏
660	契
661	奔
662	奖
663	套
664	奪
665	女
666	奴
667	奶
668	她
669	好
670	如
671	妆
672	妈
673	妖
674	妙
675	妥
676	妳
677	妹
678	姆
679	始
680	姐
681	姑
682	姓
683	委
684	姜
685	姥
686	姻
687	姿
688	威
689	娇
690	娘
691	娥
692	婆
693	婉
694	婪
695	媚
696	嫌
697	嫣
698	嫦
699	嫩
700	嬉
701	子
702	孔
703	字
704	存
705	孝
706	孟
707	季
708	孤
709	学
710	孩
711	學
712	宁
713	它
714	宇
715	守
716	安
717	宋
718	完
719	宗
720	官
721	宙
722	定
723	宜
724	宝
725	实
726	宠
727	客
728	宣
729	室
730	宫
731	害
732	家
733	容
734	宽
735	宿
736	寂
737	寄
738	密
739	寇
740	寒
741	寞
742	察
743	寥
744	寫
745	寸
746	对
747	寺
748	寻
749	导
750	封
751	射
